,survived,sex,age,passengerClass,passengerClass
"Howard, Mrs. Benjamin (Ellen Tr",0,female,60,2nd,2nd
"Hunt, Mr. George Henry",0,male,33,2nd,2nd
"Ilett, Miss. Bertha",1,female,17,2nd,2nd
"Jacobsohn, Mr. Sidney Samuel",0,male,42,2nd,2nd
"Jacobsohn, Mrs. Sidney Samuel (",1,female,24,2nd,2nd
"Jarvis, Mr. John Denzil",0,male,47,2nd,2nd
"Jefferys, Mr. Clifford Thomas",0,male,24,2nd,2nd
"Jefferys, Mr. Ernest Wilfred",0,male,22,2nd,2nd
"Jenkin, Mr. Stephen Cur0w",0,male,32,2nd,2nd
"Jerwan, Mrs. Amin S (Marie Mart",1,female,23,2nd,2nd
"Kantor, Mr. Sinai",0,male,34,2nd,2nd
"Kantor, Mrs. Sinai (Miriam Ster",1,female,24,2nd,2nd
"Karnes, Mrs. J Frank (Claire Be",0,female,22,2nd,2nd
"Keane, Miss. 0ra A",1,female,NA,2nd,2nd
"Keane, Mr. Daniel",0,male,35,2nd,2nd
"Kelly, Mrs. Florence Fannie",1,female,45,2nd,2nd
"Kirkland, Rev. Charles Leonard",0,male,57,2nd,2nd
"Knight, Mr. Robert J",0,male,NA,2nd,2nd
"Kvillner, Mr. Johan Henrik Joha",0,male,31,2nd,2nd
"Lahtinen, Mrs. William (Anna Sy",0,female,26,2nd,2nd
"Lahtinen, Rev. William",0,male,30,2nd,2nd
"Lamb, Mr. John Joseph",0,male,NA,2nd,2nd
"Laroche, Miss. Louise",1,female,1,2nd,2nd
"Laroche, Miss. Simonne Marie An",1,female,3,2nd,2nd
"Laroche, Mr. Joseph Philippe Le",0,male,25,2nd,2nd
"Laroche, Mrs. Joseph (Juliette",1,female,22,2nd,2nd
"Lehmann, Miss. Bertha",1,female,17,2nd,2nd
"Leitch, Miss. Jessie Wills",1,female,NA,2nd,2nd
"Lemore, Mrs. (Amelia Milley)",1,female,34,2nd,2nd
"Levy, Mr. Rene Jacques",0,male,36,2nd,2nd
"Leyson, Mr. Robert William 0rm",0,male,24,2nd,2nd
"Lingane, Mr. John",0,male,61,2nd,2nd
"Louch, Mr. Charles Alexander",0,male,50,2nd,2nd
"Louch, Mrs. Charles Alexander (",1,female,42,2nd,2nd
"Mack, Mrs. (Mary)",0,female,57,2nd,2nd
"Malachard, Mr. 0el",0,male,NA,2nd,2nd
"Mallet, Master. Andre",1,male,1,2nd,2nd
"Mallet, Mr. Albert",0,male,31,2nd,2nd
"Mallet, Mrs. Albert (Antoinette",1,female,24,2nd,2nd
"Mangiavacchi, Mr. Serafi0 Emil",0,male,NA,2nd,2nd
"Matthews, Mr. William John",0,male,30,2nd,2nd
"Maybery, Mr. Frank Hubert",0,male,40,2nd,2nd
"McCrae, Mr. Arthur Gordon",0,male,32,2nd,2nd
"McCrie, Mr. James Matthew",0,male,30,2nd,2nd
"McKane, Mr. Peter David",0,male,46,2nd,2nd
"Mellinger, Miss. Madeleine Viol",1,female,13,2nd,2nd
"Mellinger, Mrs. (Elizabeth Anne",1,female,41,2nd,2nd
"Mellors, Mr. William John",1,male,19,2nd,2nd
"Meyer, Mr. August",0,male,39,2nd,2nd
"Milling, Mr. Jacob Christian",0,male,48,2nd,2nd
"Mitchell, Mr. Henry Michael",0,male,70,2nd,2nd
"Montvila, Rev. Juozas",0,male,27,2nd,2nd
"Moraweck, Dr. Ernest",0,male,54,2nd,2nd
"Morley, Mr. Henry Samuel (Mr H",0,male,39,2nd,2nd
"Mudd, Mr. Thomas Charles",0,male,16,2nd,2nd
"Myles, Mr. Thomas Francis",0,male,62,2nd,2nd
"Nasser, Mr. Nicholas",0,male,32.5,2nd,2nd
"Nasser, Mrs. Nicholas (Adele Ac",1,female,14,2nd,2nd
"Navratil, Master. Edmond Roger",1,male,2,2nd,2nd
"Navratil, Master. Michel M",1,male,3,2nd,2nd
"Navratil, Mr. Michel (Louis M",0,male,36.5,2nd,2nd
"Nesson, Mr. Israel",0,male,26,2nd,2nd
"Nicholls, Mr. Joseph Charles",0,male,19,2nd,2nd
"0rman, Mr. Robert Douglas",0,male,28,2nd,2nd
"0urney, Mr. Alfred (Baron von",1,male,20,2nd,2nd
"Nye, Mrs. (Elizabeth Ramell)",1,female,29,2nd,2nd
"Otter, Mr. Richard",0,male,39,2nd,2nd
"Oxenham, Mr. Percy Thomas",1,male,22,2nd,2nd
"Padro y Manent, Mr. Julian",1,male,NA,2nd,2nd
"Pain, Dr. Alfred",0,male,23,2nd,2nd
"Pallas y Castello, Mr. Emilio",1,male,29,2nd,2nd
"Parker, Mr. Clifford Richard",0,male,28,2nd,2nd
"Parkes, Mr. Francis Frank",0,male,NA,2nd,2nd
"Parrish, Mrs. (Lutie Davis)",1,female,50,2nd,2nd
"Pengelly, Mr. Frederick William",0,male,19,2nd,2nd
"Per0t, Mr. Rene",0,male,NA,2nd,2nd
"Peruschitz, Rev. Joseph Maria",0,male,41,2nd,2nd
"Phillips, Miss. Alice Frances L",1,female,21,2nd,2nd
"Phillips, Miss. Kate Florence (",1,female,19,2nd,2nd
"Phillips, Mr. Escott Robert",0,male,43,2nd,2nd
"Pinsky, Mrs. (Rosa)",1,female,32,2nd,2nd
"Ponesell, Mr. Martin",0,male,34,2nd,2nd
"Portaluppi, Mr. Emilio Ilario G",1,male,30,2nd,2nd
"Pulbaum, Mr. Franz",0,male,27,2nd,2nd
"Quick, Miss. Phyllis May",1,female,2,2nd,2nd
"Quick, Miss. Winifred Vera",1,female,8,2nd,2nd
"Quick, Mrs. Frederick Charles (",1,female,33,2nd,2nd
"Reeves, Mr. David",0,male,36,2nd,2nd
"Re0uf, Mr. Peter Henry",0,male,34,2nd,2nd
"Re0uf, Mrs. Peter Henry (Lilli",1,female,30,2nd,2nd
"Reynaldo, Ms. Encarnacion",1,female,28,2nd,2nd
"Richard, Mr. Emile",0,male,23,2nd,2nd
"Richards, Master. George Sibley",1,male,0.833299994,2nd,2nd
"Richards, Master. William Rowe",1,male,3,2nd,2nd
"Richards, Mrs. Sidney (Emily Ho",1,female,24,2nd,2nd
"Ridsdale, Miss. Lucy",1,female,50,2nd,2nd
"Rogers, Mr. Reginald Harry",0,male,19,2nd,2nd
"Rugg, Miss. Emily",1,female,21,2nd,2nd
"Schmidt, Mr. August",0,male,26,2nd,2nd
"Sedgwick, Mr. Charles Frederick",0,male,25,2nd,2nd
"Sharp, Mr. Percival James R",0,male,27,2nd,2nd
"Shelley, Mrs. William (Imanita",1,female,25,2nd,2nd
"Silven, Miss. Lyyli Karoliina",1,female,18,2nd,2nd
"Sincock, Miss. Maude",1,female,20,2nd,2nd
"Sinkkonen, Miss. Anna",1,female,30,2nd,2nd
"Sjostedt, Mr. Ernst Adolf",0,male,59,2nd,2nd
"Slayter, Miss. Hilda Mary",1,female,30,2nd,2nd
"Slemen, Mr. Richard James",0,male,35,2nd,2nd
"Smith, Miss. Marion Elsie",1,female,40,2nd,2nd
"Sobey, Mr. Samuel James Hayden",0,male,25,2nd,2nd
"Stanton, Mr. Samuel Ward",0,male,41,2nd,2nd
"Stokes, Mr. Philip Joseph",0,male,25,2nd,2nd
"Swane, Mr. George",0,male,18.5,2nd,2nd
"Sweet, Mr. George Frederick",0,male,14,2nd,2nd
"Toomey, Miss. Ellen",1,female,50,2nd,2nd
"Troupiansky, Mr. Moses Aaron",0,male,23,2nd,2nd
"Trout, Mrs. William H (Jessie L",1,female,28,2nd,2nd
"Troutt, Miss. Edwina Celia Win",1,female,27,2nd,2nd
"Turpin, Mr. William John Robert",0,male,29,2nd,2nd
"Turpin, Mrs. William John Rober",0,female,27,2nd,2nd
"Veal, Mr. James",0,male,40,2nd,2nd
"Walcroft, Miss. Nellie",1,female,31,2nd,2nd
"Ware, Mr. John James",0,male,30,2nd,2nd
"Ware, Mr. William Jeffery",0,male,23,2nd,2nd
"Ware, Mrs. John James (Florence",1,female,31,2nd,2nd
"Watson, Mr. Ennis Hastings",0,male,NA,2nd,2nd
"Watt, Miss. Bertha J",1,female,12,2nd,2nd
"Watt, Mrs. James (Elizabeth Be",1,female,40,2nd,2nd
"Webber, Miss. Susan",1,female,32.5,2nd,2nd
"Weisz, Mr. Leopold",0,male,27,2nd,2nd
"Weisz, Mrs. Leopold (Mathilde F",1,female,29,2nd,2nd
"Wells, Master. Ralph Lester",1,male,2,2nd,2nd
"Wells, Miss. Joan",1,female,4,2nd,2nd
"Wells, Mrs. Arthur Henry (Addi",1,female,29,2nd,2nd
"West, Miss. Barbara J",1,female,0.916700006,2nd,2nd
"West, Miss. Constance Mirium",1,female,5,2nd,2nd
"West, Mr. Edwy Arthur",0,male,36,2nd,2nd
"West, Mrs. Edwy Arthur (Ada Mar",1,female,33,2nd,2nd
"Wheadon, Mr. Edward H",0,male,66,2nd,2nd
"Wheeler, Mr. Edwin Frederick",0,male,NA,2nd,2nd
"Wilhelms, Mr. Charles",1,male,31,2nd,2nd
"Williams, Mr. Charles Eugene",1,male,NA,2nd,2nd
"Wright, Miss. Marion",1,female,26,2nd,2nd
"Yrois, Miss. Henriette (Mrs Ha",0,female,24,2nd,2nd
"Abbing, Mr. Anthony",0,male,42,3rd,3rd
"Abbott, Master. Eugene Joseph",0,male,13,3rd,3rd
"Abbott, Mr. Rossmore Edward",0,male,16,3rd,3rd
"Abbott, Mrs. Stanton (Rosa Hunt",1,female,35,3rd,3rd
"Abelseth, Miss. Karen Marie",1,female,16,3rd,3rd
"Abelseth, Mr. Olaus Jorgensen",1,male,25,3rd,3rd
"Abrahamsson, Mr. Abraham August",1,male,20,3rd,3rd
"Abrahim, Mrs. Joseph (Sophie Ha",1,female,18,3rd,3rd
"Adahl, Mr. Mauritz Nils Martin",0,male,30,3rd,3rd
"Adams, Mr. John",0,male,26,3rd,3rd
"Ahlin, Mrs. Johan (Johanna Pers",0,female,40,3rd,3rd
"Aks, Master. Philip Frank",1,male,0.833299994,3rd,3rd
"Aks, Mrs. Sam (Leah Rosen)",1,female,18,3rd,3rd
"Albimona, Mr. Nassef Cassem",1,male,26,3rd,3rd
"Alexander, Mr. William",0,male,26,3rd,3rd
"Alhomaki, Mr. Ilmari Rudolf",0,male,20,3rd,3rd
"Ali, Mr. Ahmed",0,male,24,3rd,3rd
"Ali, Mr. William",0,male,25,3rd,3rd
"Allen, Mr. William Henry",0,male,35,3rd,3rd
"Allum, Mr. Owen George",0,male,18,3rd,3rd
"Andersen, Mr. Albert Karvin",0,male,32,3rd,3rd
"Andersen-Jensen, Miss. Carla Ch",1,female,19,3rd,3rd
"Andersson, Master. Sigvard Hara",0,male,4,3rd,3rd
"Andersson, Miss. Ebba Iris Alfr",0,female,6,3rd,3rd
"Andersson, Miss. Ellis Anna Mar",0,female,2,3rd,3rd
"Andersson, Miss. Erna Alexandra",1,female,17,3rd,3rd
"Andersson, Miss. Ida Augusta Ma",0,female,38,3rd,3rd
"Andersson, Miss. Ingeborg Const",0,female,9,3rd,3rd
"Andersson, Miss. Sigrid Elisabe",0,female,11,3rd,3rd
"Andersson, Mr. Anders Johan",0,male,39,3rd,3rd
"Andersson, Mr. August Edvard (",1,male,27,3rd,3rd
"Andersson, Mr. Johan Samuel",0,male,26,3rd,3rd
"Andersson, Mrs. Anders Johan (A",0,female,39,3rd,3rd
"Andreasson, Mr. Paul Edvin",0,male,20,3rd,3rd
"Angheloff, Mr. Minko",0,male,26,3rd,3rd
"Ar0ld-Franchi, Mr. Josef",0,male,25,3rd,3rd
"Ar0ld-Franchi, Mrs. Josef (Jos",0,female,18,3rd,3rd
"Aronsson, Mr. Ernst Axel Algot",0,male,24,3rd,3rd
"Asim, Mr. Adola",0,male,35,3rd,3rd
"Asplund, Master. Carl Edgar",0,male,5,3rd,3rd
"Asplund, Master. Clarence Gusta",0,male,9,3rd,3rd
"Asplund, Master. Edvin Rojj Fel",1,male,3,3rd,3rd
"Asplund, Master. Filip Oscar",0,male,13,3rd,3rd
"Asplund, Miss. Lillian Gertrud",1,female,5,3rd,3rd
"Asplund, Mr. Carl Oscar Vilhelm",0,male,40,3rd,3rd
"Asplund, Mr. Johan Charles",1,male,23,3rd,3rd
"Asplund, Mrs. Carl Oscar (Selma",1,female,38,3rd,3rd
"Assaf Khalil, Mrs. Mariana (Mi",1,female,45,3rd,3rd
"Assaf, Mr. Gerios",0,male,21,3rd,3rd
"Assam, Mr. Ali",0,male,23,3rd,3rd
"Attalah, Miss. Malake",0,female,17,3rd,3rd
"Attalah, Mr. Sleiman",0,male,30,3rd,3rd
"Augustsson, Mr. Albert",0,male,23,3rd,3rd
"Ayoub, Miss. Ba0ura",1,female,13,3rd,3rd
"Baccos, Mr. Raffull",0,male,20,3rd,3rd
"Backstrom, Mr. Karl Alfred",0,male,32,3rd,3rd
"Backstrom, Mrs. Karl Alfred (Ma",1,female,33,3rd,3rd
"Baclini, Miss. Eugenie",1,female,0.75,3rd,3rd
"Baclini, Miss. Helene Barbara",1,female,0.75,3rd,3rd
"Baclini, Miss. Marie Catherine",1,female,5,3rd,3rd
"Baclini, Mrs. Solomon (Latifa Q",1,female,24,3rd,3rd
"Badman, Miss. Emily Louisa",1,female,18,3rd,3rd
"Badt, Mr. Mohamed",0,male,40,3rd,3rd
"Balkic, Mr. Cerin",0,male,26,3rd,3rd
"Barah, Mr. Hanna Assi",1,male,20,3rd,3rd
"Barbara, Miss. Saiide",0,female,18,3rd,3rd
"Barbara, Mrs. (Catherine David)",0,female,45,3rd,3rd
"Barry, Miss. Julia",0,female,27,3rd,3rd
"Barton, Mr. David John",0,male,22,3rd,3rd
"Beavan, Mr. William Thomas",0,male,19,3rd,3rd
"Bengtsson, Mr. John Viktor",0,male,26,3rd,3rd
"Berglund, Mr. Karl Ivar Sven",0,male,22,3rd,3rd
"Betros, Master. Seman",0,male,NA,3rd,3rd
"Betros, Mr. Tan0us",0,male,20,3rd,3rd
"Bing, Mr. Lee",1,male,32,3rd,3rd
"Birkeland, Mr. Hans Martin Mons",0,male,21,3rd,3rd
"Bjorklund, Mr. Ernst Herbert",0,male,18,3rd,3rd
"Bostandyeff, Mr. Guentcho",0,male,26,3rd,3rd
"Boulos, Master. Akar",0,male,6,3rd,3rd
"Boulos, Miss. 0urelain",0,female,9,3rd,3rd
"Boulos, Mr. Hanna",0,male,NA,3rd,3rd
"Boulos, Mrs. Joseph (Sultana)",0,female,NA,3rd,3rd
"Bourke, Miss. Mary",0,female,NA,3rd,3rd
"Bourke, Mr. John",0,male,40,3rd,3rd
"Bourke, Mrs. John (Catherine)",0,female,32,3rd,3rd
"Bowen, Mr. David John Dai",0,male,21,3rd,3rd
"Bradley, Miss. Bridget Delia",1,female,22,3rd,3rd
"Braf, Miss. Elin Ester Maria",0,female,20,3rd,3rd
"Braund, Mr. Lewis Richard",0,male,29,3rd,3rd
"Braund, Mr. Owen Harris",0,male,22,3rd,3rd
"Brobeck, Mr. Karl Rudolf",0,male,22,3rd,3rd
"Brocklebank, Mr. William Alfred",0,male,35,3rd,3rd
"Buckley, Miss. Katherine",0,female,18.5,3rd,3rd
"Buckley, Mr. Daniel",1,male,21,3rd,3rd
"Burke, Mr. Jeremiah",0,male,19,3rd,3rd
"Burns, Miss. Mary Delia",0,female,18,3rd,3rd
"Cacic, Miss. Manda",0,female,21,3rd,3rd
"Cacic, Miss. Marija",0,female,30,3rd,3rd
"Cacic, Mr. Jego Grga",0,male,18,3rd,3rd
"Cacic, Mr. Luka",0,male,38,3rd,3rd
"Calic, Mr. Jovo",0,male,17,3rd,3rd
"Calic, Mr. Petar",0,male,17,3rd,3rd
"Canavan, Miss. Mary",0,female,21,3rd,3rd
"Canavan, Mr. Patrick",0,male,21,3rd,3rd
"Cann, Mr. Ernest Charles",0,male,21,3rd,3rd
"Caram, Mr. Joseph",0,male,NA,3rd,3rd
"Caram, Mrs. Joseph (Maria Elias",0,female,NA,3rd,3rd
"Carlsson, Mr. August Sigfrid",0,male,28,3rd,3rd
"Carlsson, Mr. Carl Robert",0,male,24,3rd,3rd
"Carr, Miss. Helen Ellen",1,female,16,3rd,3rd
"Carr, Miss. Jeannie",0,female,37,3rd,3rd
"Carver, Mr. Alfred John",0,male,28,3rd,3rd
"Celotti, Mr. Francesco",0,male,24,3rd,3rd
"Charters, Mr. David",0,male,21,3rd,3rd
"Chip, Mr. Chang",1,male,32,3rd,3rd
"Christmann, Mr. Emil",0,male,29,3rd,3rd
"Chro0poulos, Mr. Apostolos",0,male,26,3rd,3rd
"Chro0poulos, Mr. Demetrios",0,male,18,3rd,3rd
"Coelho, Mr. Domingos Fernandeo",0,male,20,3rd,3rd
"Cohen, Mr. Gurshon Gus",1,male,18,3rd,3rd
"Colbert, Mr. Patrick",0,male,24,3rd,3rd
"Coleff, Mr. Peju",0,male,36,3rd,3rd
"Coleff, Mr. Satio",0,male,24,3rd,3rd
"Conlon, Mr. Thomas Henry",0,male,31,3rd,3rd
"Connaghton, Mr. Michael",0,male,31,3rd,3rd
"Con0lly, Miss. Kate (A)",1,female,22,3rd,3rd
"Con0lly, Miss. Kate (B)",0,female,30,3rd,3rd
"Con0rs, Mr. Patrick",0,male,70.5,3rd,3rd
"Cook, Mr. Jacob",0,male,43,3rd,3rd
"Cor, Mr. Bartol",0,male,35,3rd,3rd
"Cor, Mr. Ivan",0,male,27,3rd,3rd
"Cor, Mr. Liudevit",0,male,19,3rd,3rd
"Corn, Mr. Harry",0,male,30,3rd,3rd
"Coutts, Master. Eden Leslie Ne",1,male,9,3rd,3rd
"Coutts, Master. William Loch W",1,male,3,3rd,3rd
"Coutts, Mrs. William (Winnie M",1,female,36,3rd,3rd
"Coxon, Mr. Daniel",0,male,59,3rd,3rd
"Crease, Mr. Ernest James",0,male,19,3rd,3rd
"Cribb, Miss. Laura Alice",1,female,17,3rd,3rd
"Cribb, Mr. John Hatfield",0,male,44,3rd,3rd
"Culumovic, Mr. Jeso",0,male,17,3rd,3rd
"Daher, Mr. Shedid",0,male,22.5,3rd,3rd
"Dahl, Mr. Karl Edwart",1,male,45,3rd,3rd
"Dahlberg, Miss. Gerda Ulrika",0,female,22,3rd,3rd
"Dakic, Mr. Branko",0,male,19,3rd,3rd
"Daly, Miss. Margaret Marcella ",1,female,30,3rd,3rd
"Daly, Mr. Eugene Patrick",1,male,29,3rd,3rd
"Danbom, Master. Gilbert Sigvard",0,male,0.333299994,3rd,3rd
"Danbom, Mr. Ernst Gilbert",0,male,34,3rd,3rd
"Danbom, Mrs. Ernst Gilbert (Ann",0,female,28,3rd,3rd
"Da0ff, Mr. Yoto",0,male,27,3rd,3rd
"Dantcheff, Mr. Ristiu",0,male,25,3rd,3rd
"Davies, Mr. Alfred J",0,male,24,3rd,3rd
"Davies, Mr. Evan",0,male,22,3rd,3rd
"Davies, Mr. John Samuel",0,male,21,3rd,3rd
"Davies, Mr. Joseph",0,male,17,3rd,3rd
"Davison, Mr. Thomas Henry",0,male,NA,3rd,3rd
"Davison, Mrs. Thomas Henry (Mar",1,female,NA,3rd,3rd
"de Messemaeker, Mr. Guillaume J",1,male,36.5,3rd,3rd
"de Messemaeker, Mrs. Guillaume",1,female,36,3rd,3rd
"de Mulder, Mr. Theodore",1,male,30,3rd,3rd
"de Pelsmaeker, Mr. Alfons",0,male,16,3rd,3rd
"Dean, Master. Bertram Vere",1,male,1,3rd,3rd
"Dean, Miss. Elizabeth Gladys M",1,female,0.166700006,3rd,3rd
"Dean, Mr. Bertram Frank",0,male,26,3rd,3rd
"Dean, Mrs. Bertram (Eva Georget",1,female,33,3rd,3rd
"Delalic, Mr. Redjo",0,male,25,3rd,3rd
"Demetri, Mr. Marinko",0,male,NA,3rd,3rd
"Denkoff, Mr. Mitto",0,male,NA,3rd,3rd
"Dennis, Mr. Samuel",0,male,22,3rd,3rd
"Dennis, Mr. William",0,male,36,3rd,3rd
"Devaney, Miss. Margaret Delia",1,female,19,3rd,3rd
"Dika, Mr. Mirko",0,male,17,3rd,3rd
"Dimic, Mr. Jovan",0,male,42,3rd,3rd
"Dintcheff, Mr. Valtcho",0,male,43,3rd,3rd
"Doharr, Mr. Tan0us",0,male,NA,3rd,3rd
"Dooley, Mr. Patrick",0,male,32,3rd,3rd
"Dorking, Mr. Edward Arthur",1,male,19,3rd,3rd
"Dowdell, Miss. Elizabeth",1,female,30,3rd,3rd
"Doyle, Miss. Elizabeth",0,female,24,3rd,3rd
"Drapkin, Miss. Jennie",1,female,23,3rd,3rd
"Draze0ic, Mr. Jozef",0,male,33,3rd,3rd
"Duane, Mr. Frank",0,male,65,3rd,3rd
"Duquemin, Mr. Joseph",1,male,24,3rd,3rd
"Dyker, Mr. Adolf Fredrik",0,male,23,3rd,3rd
"Dyker, Mrs. Adolf Fredrik (Anna",1,female,22,3rd,3rd
"Edvardsson, Mr. Gustaf Hjalmar",0,male,18,3rd,3rd
"Eklund, Mr. Hans Linus",0,male,16,3rd,3rd
"Ekstrom, Mr. Johan",0,male,45,3rd,3rd
"Elias, Mr. Dibo",0,male,NA,3rd,3rd
"Elias, Mr. Joseph",0,male,39,3rd,3rd
"Elias, Mr. Joseph Jr",0,male,17,3rd,3rd
"Elias, Mr. Tan0us",0,male,15,3rd,3rd
"Elsbury, Mr. William James",0,male,47,3rd,3rd
"Emanuel, Miss. Virginia Ethel",1,female,5,3rd,3rd
"Emir, Mr. Farred Chehab",0,male,NA,3rd,3rd
"Everett, Mr. Thomas James",0,male,40.5,3rd,3rd
"Farrell, Mr. James",0,male,40.5,3rd,3rd
"Fi0li, Mr. Luigi",1,male,NA,3rd,3rd
"Fischer, Mr. Eberhard Thelander",0,male,18,3rd,3rd
"Fleming, Miss. Ho0ra",0,female,NA,3rd,3rd
"Flynn, Mr. James",0,male,NA,3rd,3rd
"Flynn, Mr. John",0,male,NA,3rd,3rd
"Foley, Mr. Joseph",0,male,26,3rd,3rd
"Foley, Mr. William",0,male,NA,3rd,3rd
"Foo, Mr. Choong",1,male,NA,3rd,3rd
"Ford, Miss. Doolina Margaret D",0,female,21,3rd,3rd
"Ford, Miss. Robina Maggie Ruby",0,female,9,3rd,3rd
"Ford, Mr. Arthur",0,male,NA,3rd,3rd
"Ford, Mr. Edward Watson",0,male,18,3rd,3rd
"Ford, Mr. William Neal",0,male,16,3rd,3rd
"Ford, Mrs. Edward (Margaret Ann",0,female,48,3rd,3rd
"Fox, Mr. Patrick",0,male,NA,3rd,3rd
"Franklin, Mr. Charles (Charles",0,male,NA,3rd,3rd
"Gallagher, Mr. Martin",0,male,25,3rd,3rd
"Garfirth, Mr. John",0,male,NA,3rd,3rd
"Gheorgheff, Mr. Stanio",0,male,NA,3rd,3rd
"Gilinski, Mr. Eliezer",0,male,22,3rd,3rd
"Gilnagh, Miss. Katherine Katie",1,female,16,3rd,3rd
"Glynn, Miss. Mary Agatha",1,female,NA,3rd,3rd
"Goldsmith, Master. Frank John W",1,male,9,3rd,3rd
"Goldsmith, Mr. Frank John",0,male,33,3rd,3rd
"Goldsmith, Mr. Nathan",0,male,41,3rd,3rd
"Goldsmith, Mrs. Frank John (Emi",1,female,31,3rd,3rd
"Goncalves, Mr. Manuel Estanslas",0,male,38,3rd,3rd
"Goodwin, Master. Harold Victor",0,male,9,3rd,3rd
"Goodwin, Master. Sidney Leonard",0,male,1,3rd,3rd
"Goodwin, Master. William Freder",0,male,11,3rd,3rd
"Goodwin, Miss. Jessie Allis",0,female,10,3rd,3rd
"Goodwin, Miss. Lillian Amy",0,female,16,3rd,3rd
"Goodwin, Mr. Charles Edward",0,male,14,3rd,3rd
"Goodwin, Mr. Charles Frederick",0,male,40,3rd,3rd
"Goodwin, Mrs. Frederick (August",0,female,43,3rd,3rd
"Green, Mr. George Henry",0,male,51,3rd,3rd
"Gronnestad, Mr. Daniel Danielse",0,male,32,3rd,3rd
"Guest, Mr. Robert",0,male,NA,3rd,3rd
"Gustafsson, Mr. Alfred Ossian",0,male,20,3rd,3rd
"Gustafsson, Mr. Anders Vilhelm",0,male,37,3rd,3rd
"Gustafsson, Mr. Johan Birger",0,male,28,3rd,3rd
"Gustafsson, Mr. Karl Gideon",0,male,19,3rd,3rd
"Haas, Miss. Aloisia",0,female,24,3rd,3rd
"Hagardon, Miss. Kate",0,female,17,3rd,3rd
"Hagland, Mr. Ingvald Olai Olsen",0,male,NA,3rd,3rd
"Hagland, Mr. Konrad Mathias Rei",0,male,NA,3rd,3rd
"Hakkarainen, Mr. Pekka Pietari",0,male,28,3rd,3rd
"Hakkarainen, Mrs. Pekka Pietari",1,female,24,3rd,3rd
"Hampe, Mr. Leon",0,male,20,3rd,3rd
"Hanna, Mr. Mansour",0,male,23.5,3rd,3rd
"Hansen, Mr. Claus Peter",0,male,41,3rd,3rd
"Hansen, Mr. Henrik Juul",0,male,26,3rd,3rd
"Hansen, Mr. Henry Damsgaard",0,male,21,3rd,3rd
"Hansen, Mrs. Claus Peter (Jenni",1,female,45,3rd,3rd
"Harknett, Miss. Alice Phoebe",0,female,NA,3rd,3rd
"Harmer, Mr. Abraham (David Lish",0,male,25,3rd,3rd
"Hart, Mr. Henry",0,male,NA,3rd,3rd
"Hassan, Mr. Houssein G N",0,male,11,3rd,3rd
"Healy, Miss. Ha0ra 0ra",1,female,NA,3rd,3rd
"Hedman, Mr. Oskar Arvid",1,male,27,3rd,3rd
"Hee, Mr. Ling",1,male,NA,3rd,3rd
"Hegarty, Miss. Ha0ra 0ra",0,female,18,3rd,3rd
"Heikkinen, Miss. Laina",1,female,26,3rd,3rd
"Heininen, Miss. Wendla Maria",0,female,23,3rd,3rd
"Hellstrom, Miss. Hilda Maria",1,female,22,3rd,3rd
"Hendekovic, Mr. Ignjac",0,male,28,3rd,3rd
"Henriksson, Miss. Jenny Lovisa",0,female,28,3rd,3rd
"Henry, Miss. Delia",0,female,NA,3rd,3rd
"Hirvonen, Miss. Hildur E",1,female,2,3rd,3rd
"Hirvonen, Mrs. Alexander (Helga",1,female,22,3rd,3rd
"Holm, Mr. John Fredrik Alexande",0,male,43,3rd,3rd
"Holthen, Mr. Johan Martin",0,male,28,3rd,3rd
"Honkanen, Miss. Eliina",1,female,27,3rd,3rd
"Horgan, Mr. John",0,male,NA,3rd,3rd
"Howard, Miss. May Elizabeth",1,female,NA,3rd,3rd
"Humblen, Mr. Adolf Mathias Nico",0,male,42,3rd,3rd
"Hyman, Mr. Abraham",1,male,NA,3rd,3rd
"Ibrahim Shawah, Mr. Yousseff",0,male,30,3rd,3rd
"Ilieff, Mr. Ylio",0,male,NA,3rd,3rd
"Ilmakangas, Miss. Ida Livija",0,female,27,3rd,3rd
"Ilmakangas, Miss. Pieta Sofia",0,female,25,3rd,3rd
"Iva0ff, Mr. Kanio",0,male,NA,3rd,3rd
"Jalsevac, Mr. Ivan",1,male,29,3rd,3rd
"Jansson, Mr. Carl Olof",1,male,21,3rd,3rd
"Jardin, Mr. Jose Neto",0,male,NA,3rd,3rd
"Jensen, Mr. Hans Peder",0,male,20,3rd,3rd
"Jensen, Mr. Niels Peder",0,male,48,3rd,3rd
"Jensen, Mr. Svend Lauritz",0,male,17,3rd,3rd
"Jermyn, Miss. Annie",1,female,NA,3rd,3rd
"Johannesen-Bratthammer, Mr. Ber",1,male,NA,3rd,3rd
"Johanson, Mr. Jakob Alfred",0,male,34,3rd,3rd
"Johansson Palmquist, Mr. Oskar",1,male,26,3rd,3rd
"Johansson, Mr. Erik",0,male,22,3rd,3rd
"Johansson, Mr. Gustaf Joel",0,male,33,3rd,3rd
"Johansson, Mr. Karl Johan",0,male,31,3rd,3rd
"Johansson, Mr. Nils",0,male,29,3rd,3rd
"Johnson, Master. Harold Theodor",1,male,4,3rd,3rd
"Johnson, Miss. Elea0r Ileen",1,female,1,3rd,3rd
"Johnson, Mr. Alfred",0,male,49,3rd,3rd
